participantName,participantId,age,dateExperimentStart,timeExperimentStart,blockNumber,nValue,trialNumber,letter,matchOrNotMatch,timestampLetterAppeared,timestampLetterDisappeared,isKeyPressed,note,sessionArrangement
test,8,77,13/04/2026,13:18:14,1,3,1,G,NOT_MATCH,1776079155.3959491,1776079155.897263,No,,ABC
test,8,77,13/04/2026,13:18:14,1,3,2,I,NOT_MATCH,1776079157.898561,1776079158.3999202,No,,ABC
test,8,77,13/04/2026,13:18:14,1,3,3,D,NOT_MATCH,1776079160.401216,1776079160.9025338,Yes,,ABC
test,8,77,13/04/2026,13:18:14,1,3,4,D,NOT_MATCH,1776079162.903869,1776079163.405202,No,,ABC
test,8,77,13/04/2026,13:18:14,1,3,5,N,NOT_MATCH,1776079165.406005,1776079165.907446,No,,ABC
test,8,77,13/04/2026,13:18:14,1,3,6,Z,NOT_MATCH,1776079167.908604,1776079168.409656,No,,ABC
test,8,77,13/04/2026,13:18:14,1,3,7,D,MATCH,1776079170.41074,1776079170.912232,No,,ABC
test,8,77,13/04/2026,13:18:14,1,3,8,X,NOT_MATCH,1776079172.913526,1776079173.414855,No,,ABC
test,8,77,13/04/2026,13:18:14,1,3,9,Z,MATCH,1776079175.416157,1776079175.917452,No,,ABC
test,8,77,13/04/2026,13:18:14,1,3,10,S,NOT_MATCH,1776079177.917797,1776079178.4191139,No,,ABC
test,8,77,13/04/2026,13:18:14,1,3,11,X,MATCH,1776079180.420407,1776079180.921779,No,,ABC
test,8,77,13/04/2026,13:18:14,1,3,12,Z,MATCH,1776079182.922473,1776079183.4236338,No,,ABC
test,8,77,13/04/2026,13:18:14,1,3,13,P,NOT_MATCH,1776079185.424939,1776079185.9261398,No,,ABC
test,8,77,13/04/2026,13:18:14,1,3,14,Y,NOT_MATCH,1776079187.9273999,1776079188.428874,No,,ABC
test,8,77,13/04/2026,13:18:14,1,3,15,D,NOT_MATCH,1776079190.4301481,1776079190.9307258,No,,ABC
test,8,77,13/04/2026,13:18:14,1,3,16,X,NOT_MATCH,1776079192.9320378,1776079193.43342,No,,ABC
test,8,77,13/04/2026,13:18:14,1,3,17,I,NOT_MATCH,1776079195.4343219,1776079195.93571,No,,ABC
test,8,77,13/04/2026,13:18:14,1,3,18,D,MATCH,1776079197.936994,1776079198.4384809,No,,ABC
test,8,77,13/04/2026,13:18:14,1,3,19,S,NOT_MATCH,1776079200.4388402,1776079200.939913,No,,ABC
test,8,77,13/04/2026,13:18:14,1,3,20,I,MATCH,1776079202.941182,1776079203.4423969,No,,ABC
test,8,77,13/04/2026,13:18:14,1,3,21,A,NOT_MATCH,1776079205.4426188,1776079205.9440699,No,,ABC
test,8,77,13/04/2026,13:18:14,1,3,22,Z,NOT_MATCH,1776079207.94467,1776079208.4460402,No,,ABC
test,8,77,13/04/2026,13:18:14,1,3,23,G,NOT_MATCH,1776079210.447173,1776079210.94804,No,,ABC
test,8,77,13/04/2026,13:18:14,1,3,24,Y,NOT_MATCH,1776079212.949322,1776079213.450152,No,,ABC
