participantName,participantId,age,dateExperimentStart,timeExperimentStart,blockNumber,nValue,trialNumber,letter,matchOrNotMatch,timestampLetterAppeared,timestampLetterDisappeared,isKeyPressed,note,sessionArrangement
test,5,55,13/04/2026,13:11:13,1,5,1,I,NOT_MATCH,1776078734.643577,1776078735.144994,No,,ABC
test,5,55,13/04/2026,13:11:13,1,5,2,F,NOT_MATCH,1776078737.146261,1776078737.647653,No,,ABC
test,5,55,13/04/2026,13:11:13,1,5,3,S,NOT_MATCH,1776078739.6489758,1776078740.150369,No,,ABC
test,5,55,13/04/2026,13:11:13,1,5,4,K,NOT_MATCH,1776078742.1516852,1776078742.653109,Yes,,ABC
test,5,55,13/04/2026,13:11:13,1,5,5,Q,NOT_MATCH,1776078744.654424,1776078745.155699,Yes,,ABC
test,5,55,13/04/2026,13:11:13,1,5,6,D,NOT_MATCH,1776078747.157011,1776078747.658326,No,,ABC
test,5,55,13/04/2026,13:11:13,1,5,7,G,NOT_MATCH,1776078749.659219,1776078750.159901,No,,ABC
test,5,55,13/04/2026,13:11:13,1,5,8,A,NOT_MATCH,1776078752.161196,1776078752.662579,No,,ABC
test,5,55,13/04/2026,13:11:13,1,5,9,X,NOT_MATCH,1776078754.663885,1776078755.1652758,No,,ABC
test,5,55,13/04/2026,13:11:13,1,5,10,Z,NOT_MATCH,1776078757.166553,1776078757.667901,No,,ABC
test,5,55,13/04/2026,13:11:13,1,5,11,I,NOT_MATCH,1776078759.669198,1776078760.169725,No,,ABC
test,5,55,13/04/2026,13:11:13,1,5,12,K,NOT_MATCH,1776078762.1710489,1776078762.672357,No,,ABC
test,5,55,13/04/2026,13:11:13,1,5,13,Y,NOT_MATCH,1776078764.673311,1776078765.174755,No,,ABC
test,5,55,13/04/2026,13:11:13,1,5,14,X,MATCH,1776078767.176116,1776078767.677608,No,,ABC
test,5,55,13/04/2026,13:11:13,1,5,15,I,NOT_MATCH,1776078769.678897,1776078770.180213,No,,ABC
test,5,55,13/04/2026,13:11:13,1,5,16,M,NOT_MATCH,1776078772.181497,1776078772.6828659,No,,ABC
test,5,55,13/04/2026,13:11:13,1,5,17,K,MATCH,1776078774.684127,1776078775.1846159,No,,ABC
test,5,55,13/04/2026,13:11:13,1,5,18,M,NOT_MATCH,1776078777.185898,1776078777.687351,No,,ABC
test,5,55,13/04/2026,13:11:13,1,5,19,X,MATCH,1776078779.6883578,1776078780.189714,No,,ABC
test,5,55,13/04/2026,13:11:13,1,5,20,I,MATCH,1776078782.1910112,1776078782.6923509,No,,ABC
test,5,55,13/04/2026,13:11:13,1,5,21,M,MATCH,1776078784.693347,1776078785.194696,No,,ABC
test,5,55,13/04/2026,13:11:13,1,5,22,J,NOT_MATCH,1776078787.195997,1776078787.6971872,No,,ABC
test,5,55,13/04/2026,13:11:13,1,5,23,Q,NOT_MATCH,1776078789.698499,1776078790.19989,No,,ABC
test,5,55,13/04/2026,13:11:13,1,5,24,W,NOT_MATCH,1776078792.2011561,1776078792.7025468,No,,ABC
